id,nome,livello,lv_premium,exp_required,special_attack_name,special_attack_damage,special_attack_mana_cost,price,description,character_group,max_concurrent_owners,is_pokemon
132,Palkia,43,2,85000,Spacial Rend,672,281,3250,Il dio dello spazio,Pokemon,1,1
133,Giratina,44,2,90000,Shadow Force,690,288,3350,Il dio dell'antimateria,Pokemon,1,1
134,Rayquaza,44,1,90000,Dragon Ascent,700,292,0,Il drago del cielo (Premium),Pokemon,1,1
135,Groudon,44,2,90000,Precipice Blades,695,290,3400,Il dio della terra,Pokemon,1,1
136,Kyogre,45,2,95000,Origin Pulse,705,296,3450,Il dio del mare,Pokemon,1,1
137,Mewtwo,45,1,95000,Psystrike,720,300,0,Il Pokemon genetico (Premium),Pokemon,1,1
138,Lugia,45,2,95000,Aeroblast,710,298,3500,Il guardiano del mare,Pokemon,1,1
139,Ho-Oh,46,2,100000,Sacred Fire,725,304,3550,L'uccello arcobaleno,Pokemon,1,1
140,Celebi,46,2,100000,Time Travel,722,303,3500,Il viaggiatore del tempo,Pokemon,1,1
141,Jirachi,46,1,100000,Doom Desire,735,308,0,Il Pokemon dei desideri (Premium),Pokemon,1,1
142,Deoxys,47,1,105000,Psycho Boost,750,316,0,Il Pokemon cosmico (Premium),Pokemon,1,1
143,Darkrai,47,2,105000,Dark Void,745,314,3600,Il Pokemon degli incubi,Pokemon,1,1
144,Cresselia,47,2,105000,Lunar Dance,742,313,3550,Il Pokemon lunare,Pokemon,1,1
145,Goku SSJ Blue,48,1,110000,God Kamehameha,780,328,0,Goku Super Saiyan Blue (Premium),Dragon Ball,1,0
146,Vegeta SSJ Blue,48,2,110000,Final Explosion,775,326,3650,Vegeta Super Saiyan Blue,Dragon Ball,1,0
147,Vegito Blue,48,2,110000,Final Kamehameha,772,325,3600,La fusione Potara,Dragon Ball,1,0
148,Goku Ultra Instinct,49,1,115000,Autonomous Ultra,820,344,0,Goku Ultra Istinto (Premium),Dragon Ball,1,0
149,Jiren Full Power,49,2,115000,Overheat Magnetron,815,342,3700,Jiren al massimo,Dragon Ball,1,0
150,Broly LSSJ,49,2,115000,Gigantic Catastrophe,812,341,3650,Broly leggendario,Dragon Ball,1,0
151,Goku Mastered UI,50,1,120000,Perfected Strike,860,360,0,Goku UI Perfetto (Premium),Dragon Ball,1,0
152,Vegito SSJ Blue,50,2,120000,Spirit Sword,855,358,3750,Vegito potenziato,Dragon Ball,1,0
153,Gogeta SSJ Blue,50,2,120000,Soul Punisher,852,357,3700,Gogeta potenziato,Dragon Ball,1,0
154,Hungarian Horntail,51,2,125000,Dragon Fire,870,364,3800,Il drago ungherese,Harry Potter,1,0
155,Chinese Fireball,51,2,125000,Fireball Breath,868,363,3750,Il drago cinese,Harry Potter,1,0
156,Swedish Short-Snout,51,1,125000,Ice Flame,880,368,0,Il drago svedese (Premium),Harry Potter,1,0
157,Norwegian Ridgeback,52,2,130000,Ridge Spike,890,372,3850,Il drago norvegese,Harry Potter,1,0
158,Ukrainian Ironbelly,52,1,130000,Iron Scale,900,376,0,Il drago ucraino (Premium),Harry Potter,1,0
159,Gringotts Dragon,52,2,130000,Blind Fury,895,374,3900,Il drago di Gringotts,Harry Potter,1,0
160,Alduin,53,1,135000,Meteor Storm,920,384,0,Il divoratore di mondi (Premium),Skyrim,1,0
161,Paarthurnax,53,2,135000,Fire Breath,915,382,3950,Il drago saggio,Skyrim,1,0
162,Odahviing,53,2,135000,Frost Breath,912,381,3900,Il drago alleato,Skyrim,1,0
163,Rathalos,54,2,140000,Fireball,930,388,4000,Il wyvern rosso,Monster Hunter,1,0
164,Nergigante,54,1,140000,Dive Bomb,945,392,0,L'eater of elders (Premium),Monster Hunter,1,0
165,Fatalis,54,2,140000,Flame Beam,940,390,4050,Il drago nero,Monster Hunter,1,0
166,Ridley,55,1,145000,Plasma Breath,960,400,0,Il drago spaziale (Premium),Metroid,1,0
167,Kraid,55,2,145000,Spike Barrage,955,398,4100,Il boss gigante,Metroid,1,0
168,Phantoon,55,2,145000,Ghost Strike,952,397,4050,Il fantasma,Metroid,1,0
169,Shenron,56,1,150000,Eternal Dragon,980,408,0,Il drago dei desideri (Premium),Dragon Ball,1,0
170,Porunga,56,2,150000,Three Wishes,975,406,4150,Il drago Namecciano,Dragon Ball,1,0
171,Super Shenron,56,2,150000,Divine Wish,972,405,4100,Il drago divino,Dragon Ball,1,0
172,Zeno,57,1,155000,Erase,1020,424,0,Il re di tutto (Premium),Dragon Ball,1,0
173,Grand Priest,57,2,155000,Divine Power,1015,422,4200,Il sommo sacerdote,Dragon Ball,1,0
174,Champa,57,2,155000,Destruction,1012,421,4150,Il dio della distruzione U6,Dragon Ball,1,0
175,Vados,58,2,160000,Staff Strike,1030,428,4250,L'angelo di Champa,Dragon Ball,1,0
176,Belmod,58,2,160000,Clown Destruction,1028,427,4200,Il dio clown,Dragon Ball,1,0
177,Quitela,58,1,160000,Sneaky Hakai,1040,432,0,Il dio topo (Premium),Dragon Ball,1,0
178,Heles,59,2,165000,Beauty Destruction,1050,436,4300,La dea della bellezza,Dragon Ball,1,0
179,Mosco,59,2,165000,Robot Hakai,1048,435,4250,Il dio robot,Dragon Ball,1,0
180,Liquiir,59,1,165000,Fox Destruction,1060,440,0,Il dio volpe (Premium),Dragon Ball,1,0
181,Iwan,60,2,170000,Muscle Hakai,1070,444,4350,Il dio muscoloso,Dragon Ball,1,0
182,Arak,60,2,170000,Elephant Destruction,1068,443,4300,Il dio elefante,Dragon Ball,1,0
183,Giin,60,1,170000,Calm Hakai,1080,448,0,Il dio calmo (Premium),Dragon Ball,1,0
184,Rumsshi,61,2,175000,Lazy Destruction,1090,452,4400,Il dio pigro,Dragon Ball,1,0
185,Sidra,61,2,175000,Hesitant Hakai,1088,451,4350,Il dio esitante,Dragon Ball,1,0
186,Geene,61,1,175000,Mouse Destruction,1100,456,0,Il dio topo (Premium),Dragon Ball,1,0
187,Zeus,62,1,180000,Lightning Bolt,1130,468,0,Il re degli dei greci (Premium),Mitologia,1,0
188,Poseidon,62,2,180000,Tidal Fury,1125,466,4450,Il dio del mare greco,Mitologia,1,0
189,Hades,62,2,180000,Underworld Flame,1122,465,4400,Il dio degli inferi greco,Mitologia,1,0
190,Athena,63,2,185000,Wisdom Strike,1140,472,4500,La dea della saggezza,Mitologia,1,0
191,Ares,63,2,185000,War Cry,1138,471,4450,Il dio della guerra greco,Mitologia,1,0
192,Apollo,63,1,185000,Sun Arrow,1150,476,0,Il dio del sole greco (Premium),Mitologia,1,0
193,Artemis,64,2,190000,Moon Bow,1160,480,4550,La dea della caccia,Mitologia,1,0
194,Hera,64,2,190000,Queen's Wrath,1158,479,4500,La regina degli dei,Mitologia,1,0
195,Hermes,64,1,190000,Divine Speed,1170,484,0,Il messaggero degli dei (Premium),Mitologia,1,0
196,Odin,65,1,195000,Gungnir Strike,1200,496,0,Il padre di tutti (Premium),Mitologia,1,0
197,Thor,65,2,195000,Mjolnir Thunder,1195,494,4600,Il dio del tuono nordico,Mitologia,1,0
198,Loki,65,2,195000,Trickster Magic,1192,493,4550,Il dio dell'inganno,Mitologia,1,0
199,Freya,66,2,200000,Valkyrie Strike,1210,500,4650,La dea dell'amore nordica,Mitologia,1,0
200,Tyr,66,2,200000,Justice Blade,1208,499,4600,Il dio della guerra nordico,Mitologia,1,0
201,Heimdall,66,1,200000,Bifrost Beam,1220,504,0,Il guardiano del Bifrost (Premium),Mitologia,1,0
202,Ra,67,1,205000,Solar Flare,1250,516,0,Il dio del sole egizio (Premium),Mitologia,1,0
203,Anubis,67,2,205000,Death Judgment,1245,514,4700,Il dio della morte egizio,Mitologia,1,0
204,Osiris,67,2,205000,Resurrection,1242,513,4650,Il dio dell'aldilà egizio,Mitologia,1,0
205,Horus,68,2,210000,Sky Attack,1260,520,4750,Il dio falco egizio,Mitologia,1,0
206,Set,68,2,210000,Chaos Storm,1258,519,4700,Il dio del caos egizio,Mitologia,1,0
207,Isis,68,1,210000,Divine Magic,1270,524,0,La dea della magia egizia (Premium),Mitologia,1,0
208,Amaterasu,69,1,215000,Divine Sun,1300,536,0,La dea del sole giapponese (Premium),Mitologia,1,0
209,Susanoo,69,2,215000,Storm Blade,1295,534,4800,Il dio della tempesta giapponese,Mitologia,1,0
210,Tsukuyomi,69,2,215000,Moon Illusion,1292,533,4750,Il dio della luna giapponese,Mitologia,1,0
211,Izanagi,70,2,220000,Creation,1310,540,4850,Il dio creatore giapponese,Mitologia,1,0
212,Izanami,70,2,220000,Death,1308,539,4800,La dea della morte giapponese,Mitologia,1,0
213,Raijin,70,1,220000,Thunder God,1320,544,0,Il dio del tuono giapponese (Premium),Mitologia,1,0
214,Brahma,71,1,225000,Creation,1350,556,0,Il creatore induista (Premium),Mitologia,1,0
215,Vishnu,71,2,225000,Preservation,1345,554,4900,Il preservatore induista,Mitologia,1,0
216,Shiva Hindu,71,2,225000,Destruction,1342,553,4850,Il distruttore induista,Mitologia,1,0
217,Ganesha,72,2,230000,Wisdom,1360,560,4950,Il dio elefante,Mitologia,1,0
218,Kali,72,2,230000,Time Destruction,1358,559,4900,La dea del tempo,Mitologia,1,0
219,Hanuman,72,1,230000,Monkey King,1370,564,0,Il dio scimmia (Premium),Mitologia,1,0
220,Quetzalcoatl,73,1,235000,Feathered Serpent,1400,576,0,Il serpente piumato (Premium),Mitologia,1,0
221,Tezcatlipoca,73,2,235000,Smoking Mirror,1395,574,5000,Il dio dello specchio,Mitologia,1,0
222,Huitzilopochtli,73,2,235000,War Sun,1392,573,4950,Il dio della guerra azteco,Mitologia,1,0
223,Jade Emperor,74,1,240000,Heavenly Mandate,1450,596,0,L'imperatore di giada (Premium),Mitologia,1,0
224,Sun Wukong,74,2,240000,Monkey King Staff,1445,594,5050,Il re scimmia cinese,Mitologia,1,0
225,Nezha,74,2,240000,Lotus Prince,1442,593,5000,Il principe loto,Mitologia,1,0
226,Anu,75,1,245000,Sky Father,1500,616,0,Il padre del cielo sumero (Premium),Mitologia,1,0
227,Enlil,75,2,245000,Wind Lord,1495,614,5100,Il signore del vento,Mitologia,1,0
228,Marduk,75,2,245000,Dragon Slayer,1492,613,5050,L'uccisore di draghi,Mitologia,1,0
229,Ahura Mazda,76,2,250000,Wise Lord,1510,620,5150,Il signore saggio persiano,Mitologia,1,0
230,Ahriman,76,2,250000,Evil Spirit,1508,619,5100,Lo spirito maligno,Mitologia,1,0
231,Mithra,76,1,250000,Light God,1520,624,0,Il dio della luce (Premium),Mitologia,1,0
232,Perun,77,2,255000,Thunder Strike,1530,628,5200,Il dio del tuono slavo,Mitologia,1,0
233,Veles,77,2,255000,Underworld,1528,627,5150,Il dio degli inferi slavo,Mitologia,1,0
234,Svarog,77,1,255000,Fire Smith,1540,632,0,Il dio fabbro (Premium),Mitologia,1,0
235,Dagda,78,1,260000,Good God,1570,644,0,Il buon dio celtico (Premium),Mitologia,1,0
236,Morrigan,78,2,260000,Phantom Queen,1565,642,5250,La regina fantasma,Mitologia,1,0
237,Lugh,78,2,260000,Many Skilled,1562,641,5200,Il dio dalle molte abilità,Mitologia,1,0
238,Inti,79,2,265000,Sun God,1580,648,5300,Il dio del sole inca,Mitologia,1,0
239,Viracocha,79,2,265000,Creator,1578,647,5250,Il creatore inca,Mitologia,1,0
240,Pachamama,79,1,265000,Earth Mother,1590,652,0,La madre terra (Premium),Mitologia,1,0
241,Olorun,80,1,270000,Sky King,1620,664,0,Il re del cielo yoruba (Premium),Mitologia,1,0
242,Shango,80,2,270000,Thunder King,1615,662,5350,Il re del tuono yoruba,Mitologia,1,0
243,Oya,80,2,270000,Wind Warrior,1612,661,5300,La guerriera del vento,Mitologia,1,0
244,Raven Trickster,81,2,275000,Trickster,1630,668,5400,Il corvo ingannatore nativo,Mitologia,1,0
245,Coyote Trickster,81,2,275000,Coyote Magic,1628,667,5350,Il coyote ingannatore,Mitologia,1,0
246,Thunderbird,81,1,275000,Storm Bringer,1640,672,0,L'uccello del tuono (Premium),Mitologia,1,0
247,Tangaroa,82,2,280000,Sea God,1650,676,5450,Il dio del mare polinesiano,Mitologia,1,0
248,Maui,82,1,280000,Demigod,1665,680,0,Il semidio (Premium),Mitologia,1,0
249,Pele,82,2,280000,Volcano Goddess,1660,678,5500,La dea del vulcano,Mitologia,1,0
250,Anansi,83,2,285000,Spider Trickster,1670,684,5550,Il ragno ingannatore africano,Mitologia,1,0
251,Eshu,83,2,285000,Crossroads,1668,683,5500,Il dio dei bivi,Mitologia,1,0
252,Oshun,83,1,285000,River Goddess,1680,688,0,La dea del fiume (Premium),Mitologia,1,0
253,Sedna,84,2,290000,Sea Mother,1690,692,5600,La madre del mare inuit,Mitologia,1,0
254,Nanook,84,2,290000,Polar Bear,1688,691,5550,L'orso polare,Mitologia,1,0
255,Torngarsuk,84,1,290000,Sky God,1700,696,0,Il dio del cielo inuit (Premium),Mitologia,1,0
256,Ukko,85,1,295000,Sky Father,1730,708,0,Il padre del cielo finlandese (Premium),Mitologia,1,0
257,Ilmatar,85,2,295000,Air Spirit,1725,706,5650,Lo spirito dell'aria,Mitologia,1,0
258,Väinämöinen,85,2,295000,Eternal Sage,1722,705,5600,Il saggio eterno,Mitologia,1,0
259,Dievas,86,2,300000,Sky God,1740,712,5700,Il dio del cielo baltico,Mitologia,1,0
260,Perkūnas,86,2,300000,Thunder,1738,711,5650,Il dio del tuono baltico,Mitologia,1,0
261,Laima,86,1,300000,Fate,1750,716,0,La dea del destino (Premium),Mitologia,1,0
262,Tengri,87,1,305000,Eternal Sky,1780,728,0,Il cielo eterno (Premium),Mitologia,1,0
263,Umay,87,2,305000,Mother Goddess,1775,726,5750,La dea madre turca,Mitologia,1,0
264,Erlik,87,2,305000,Underworld,1772,725,5700,Il dio degli inferi turco,Mitologia,1,0
265,Ahti,88,2,310000,Water God,1790,732,5800,Il dio dell'acqua finlandese,Mitologia,1,0
266,Tapio,88,2,310000,Forest God,1788,731,5750,Il dio della foresta,Mitologia,1,0
267,Mielikki,88,1,310000,Forest Lady,1800,736,0,La signora della foresta (Premium),Mitologia,1,0
268,Jumala,89,1,315000,Supreme God,1830,748,0,Il dio supremo (Premium),Mitologia,1,0
